,Term,SchoolYear,county_fips,TeachingMethod,StudentMaskPolicy,useit,useit_ind
18303,Fall,2021-2022,18147,Full In-Person,Not required,1,0.8490566037735849
18304,Fall,2021-2022,5059,Full In-Person,Not required,1,0.8260869565217391
18308,Fall,2021-2022,9013,Full In-Person,Not required,1,0.8333333333333334
18312,Fall,2021-2022,29013,Full In-Person,Not required,1,0.8105263157894737
18318,Fall,2021-2022,18023,Full In-Person,Not required,1,0.8539325842696629
18322,Fall,2021-2022,18017,Full In-Person,Not required,1,0.9032258064516129
18363,Fall,2021-2022,18071,Full In-Person,Not required,1,0.8222222222222222
18371,Fall,2021-2022,18159,Full In-Person,Not required,1,0.8125
18374,Fall,2021-2022,47003,Full In-Person,Not required,1,0.813953488372093
18379,Fall,2021-2022,47003,Full In-Person,Required for unvaccinated students,1,0.813953488372093
18384,Fall,2021-2022,47003,Full In-Person,Required all students,1,0.813953488372093
18389,Fall,2021-2022,47003,Full In-Person,Required all students,1,0.813953488372093
18394,Fall,2021-2022,47003,Full In-Person,Not required,1,0.813953488372093
18408,Fall,2021-2022,18101,Full In-Person,Not required,1,0.875
18458,Fall,2021-2022,18159,Full In-Person,Not required,1,0.8125
18480,Fall,2021-2022,12091,Full In-Person,Unknown,1,0.8
18483,Fall,2021-2022,12091,Full In-Person,Not required,1,0.8
18486,Fall,2021-2022,12091,Hybrid/Partial,Required all students,1,0.8
18489,Fall,2021-2022,21239,Full In-Person,Not required,1,0.8
18494,Fall,2021-2022,17009,Full In-Person,Not required,1,0.8076923076923077
18495,Fall,2021-2022,21239,Full In-Person,Not required,1,0.8
18500,Fall,2021-2022,17009,Full In-Person,Not required,1,0.8076923076923077
18509,Fall,2021-2022,18017,Full In-Person,Not required,1,0.9032258064516129
18577,Fall,2021-2022,56031,Full In-Person,Required all students,1,0.8125
18580,Fall,2021-2022,18171,Full In-Person,Not required,1,0.875
18583,Fall,2021-2022,51840,Full In-Person,Not required,1,0.8181818181818182
18585,Fall,2021-2022,21049,Full In-Person,Not required,1,0.8181818181818182
18586,Fall,2021-2022,47051,Full In-Person,Not required,1,0.8181818181818182
18596,Fall,2021-2022,5043,Full In-Person,Not required,1,0.8269230769230769
18603,Fall,2021-2022,48441,Full In-Person,Not required,1,0.8333333333333334
18617,Fall,2021-2022,41035,Full In-Person,Not required,1,0.8571428571428571
18621,Fall,2021-2022,20099,Full In-Person,Not required,1,0.8653846153846154
18623,Fall,2021-2022,49013,Full In-Person,Not required,1,0.8571428571428571
18624,Fall,2021-2022,29061,Full In-Person,Not required,1,0.85
18629,Fall,2021-2022,20173,Full In-Person,Not required,1,0.8133333333333334
18641,Fall,2021-2022,5041,Full In-Person,Not required,1,0.9375
18665,Fall,2021-2022,20153,Full In-Person,Not required,1,0.8333333333333334
18666,Fall,2021-2022,17041,Full In-Person,Not required,1,0.825
18691,Fall,2021-2022,20157,Full In-Person,Not required,1,0.825
18692,Fall,2021-2022,42087,Full In-Person,Not required,1,0.8225806451612904
18702,Fall,2021-2022,20023,Full In-Person,Required all students,1,1.0
18707,Fall,2021-2022,27105,Pending,,0,0.8041237113402062
18715,Fall,2021-2022,20057,Full In-Person,Not required,1,0.9
18783,Fall,2021-2022,20173,Full In-Person,Required for unvaccinated students,1,0.8133333333333334
18784,Fall,2021-2022,19035,Full In-Person,Not required,1,0.8
18785,Fall,2021-2022,37173,Full In-Person,Not required,1,0.8888888888888888
18787,Fall,2021-2022,1033,Full In-Person,Not required,1,0.8409090909090909
18792,Fall,2021-2022,20099,Full In-Person,Not required,1,0.8653846153846154
18797,Fall,2021-2022,39123,Full In-Person,Not required,1,0.8448275862068966
18798,Fall,2021-2022,12103,Full In-Person,Not required,1,0.8043478260869565
18800,Fall,2021-2022,20173,Full In-Person,Not required,1,0.8133333333333334
18804,Fall,2021-2022,48059,Full In-Person,Not required,1,0.8125
18815,Fall,2021-2022,39107,Full In-Person,Not required,1,0.8125
18818,Fall,2021-2022,20003,Full In-Person,Not required,1,0.8125
18842,Fall,2021-2022,20017,Full In-Person,Not required,1,1.0
18859,Fall,2021-2022,20173,Full In-Person,Not required,1,0.8133333333333334
18863,Fall,2021-2022,19117,Full In-Person,Not required,1,0.875
18874,Fall,2021-2022,20057,Full In-Person,Not required,1,0.9
18892,Fall,2021-2022,48001,Pending,,0,0.8333333333333334
18895,Fall,2021-2022,20009,Full In-Person,,1,0.95
18897,Fall,2021-2022,23009,Full In-Person,Not required,1,0.9642857142857143
18901,Fall,2021-2022,19079,Full In-Person,Not required,1,0.8947368421052632
18902,Fall,2021-2022,27105,Full In-Person,Not required,1,0.8041237113402062
18903,Fall,2021-2022,26009,Full In-Person,Not required,1,0.8761904761904762
18911,Fall,2021-2022,31073,Full In-Person,Not required,1,0.8285714285714286
18913,Fall,2021-2022,51595,Full In-Person,Required all students,1,1.0
18937,Fall,2021-2022,26037,Full In-Person,,1,0.84375
18938,Fall,2021-2022,8089,Full In-Person,,1,0.825
18939,Fall,2021-2022,20119,Full In-Person,,1,0.8125
18946,Fall,2021-2022,5117,Full In-Person,Not required,1,0.8214285714285714
18947,Fall,2021-2022,19115,Full In-Person,Not required,1,0.8269230769230769
18949,Fall,2021-2022,38047,Full In-Person,Not required,1,0.84375
18957,Fall,2021-2022,24029,Full In-Person,Not required,1,0.8192771084337349
18959,Fall,2021-2022,29209,Full In-Person,Not required,1,0.8125
18960,Fall,2021-2022,20055,Full In-Person,Not required,1,0.8125
18977,Fall,2021-2022,12049,Full In-Person,,1,0.8214285714285714
18979,Fall,2021-2022,20003,Full In-Person,Not required,1,0.8125
18986,Fall,2021-2022,20173,Full In-Person,Not required,1,0.8133333333333334
18992,Fall,2021-2022,20009,Full In-Person,Not required,1,0.95
18998,Fall,2021-2022,20097,Full In-Person,Required all students,1,0.8055555555555556
18999,Fall,2021-2022,22091,Full In-Person,Required all students,1,0.8
19003,Fall,2021-2022,8037,Full In-Person,Not required,1,0.8125
19008,Fall,2021-2022,1093,Full In-Person,Not required,1,0.8522727272727273
19009,Fall,2021-2022,48193,Full In-Person,Not required,1,0.8088235294117647
19034,Fall,2021-2022,20097,Full In-Person,Not required,1,0.8055555555555556
19035,Fall,2021-2022,39125,Full In-Person,Not required,1,0.8125
19040,Fall,2021-2022,20173,Full In-Person,Not required,1,0.8133333333333334
19058,Fall,2021-2022,20065,Full In-Person,Not required,1,0.8333333333333334
19062,Fall,2021-2022,48217,Full In-Person,Not required,1,0.8013245033112583
19078,Fall,2021-2022,20009,Full In-Person,Not required,1,0.95
19079,Fall,2021-2022,20055,Full In-Person,Not required,1,0.8125
19081,Fall,2021-2022,28043,Full In-Person,Not required,1,0.875
19094,Fall,2021-2022,20179,Full In-Person,Not required,1,0.8333333333333334
19098,Fall,2021-2022,20001,Full In-Person,Not required,1,0.825
19126,Fall,2021-2022,20001,Full In-Person,Not required,1,0.825
19128,Fall,2021-2022,48185,Full In-Person,Not required,1,0.8363636363636363
19129,Fall,2021-2022,42037,Full In-Person,Not required,1,0.8070175438596491
19130,Fall,2021-2022,17025,Full In-Person,Not required,1,0.803030303030303
19131,Fall,2021-2022,20083,Full In-Person,Not required,1,1.0
19140,Fall,2021-2022,6105,Full In-Person,Unknown,1,0.8507462686567164
19166,Fall,2021-2022,8039,Full In-Person,Not required,1,0.85
19176,Fall,2021-2022,38019,Full In-Person,Not required,1,0.875
19246,Fall,2021-2022,13279,Full In-Person,Not required,1,0.9285714285714286
19250,Fall,2021-2022,26067,Full In-Person,Not required,1,0.8319327731092437
19253,Fall,2021-2022,39051,Full In-Person,Not required,1,0.8043478260869565
19277,Fall,2021-2022,20173,Full In-Person,Not required,1,0.8133333333333334
19317,Fall,2021-2022,20119,Full In-Person,Not required,1,0.8125
19322,Fall,2021-2022,19035,Full In-Person,Not required,1,0.8
19328,Fall,2021-2022,13193,Full In-Person,Not required,1,0.8125
19332,Fall,2021-2022,39107,Full In-Person,Not required,1,0.8125
19334,Fall,2021-2022,20001,Full In-Person,Not required,1,0.825
19345,Fall,2021-2022,46021,Full In-Person,Not required,1,0.9166666666666666
19348,Fall,2021-2022,20141,Full In-Person,Not required,1,0.8
19381,Fall,2021-2022,20141,Full In-Person,Not required,1,0.8
19386,Fall,2021-2022,20099,Full In-Person,Not required,1,0.8653846153846154
19410,Fall,2021-2022,20099,Full In-Person,Required all students,1,0.8653846153846154
19411,Fall,2021-2022,47039,Full In-Person,Required all students,1,0.9166666666666666
19415,Fall,2021-2022,13153,Full In-Person,Required all students,1,0.835820895522388
19450,Fall,2021-2022,36087,Full In-Person,Not required,1,0.8076923076923077
19461,Fall,2021-2022,31027,Full In-Person,Not required,1,0.8133333333333334
19507,Fall,2021-2022,19117,Full In-Person,Not required,1,0.875
19518,Fall,2021-2022,20081,Full In-Person,Not required,1,0.875
19520,Fall,2021-2022,20157,Full In-Person,Not required,1,0.825
