,Term,DistrictID,SchoolYear,county_fips,Enrollment,TeachingMethod,StudentMaskPolicy,avg_enr,useit,useit_ind
56183,Fall,891052,2020-2021,48243,39.0,Hybrid,Required for all students,278.25,1,0.9166666666666666
56193,Fall,891053,2020-2021,48109,378.0,Hybrid,Required for all students,378.0,1,1.0
56194,Fall,891580,2020-2021,48321,1037.0,Hybrid,Required for all students,2264.75,1,0.8611111111111112
56201,Fall,891799,2020-2021,48487,218.0,On Premises,Required for middle/high school students only,1741.5555555555557,1,0.8888888888888888
56204,Fall,891799,2020-2021,12133,218.0,On Premises,Required for middle/high school students only,2730.3142857142857,1,0.8571428571428571
56207,Fall,891799,2020-2021,4001,218.0,On Premises,Required for middle/high school students only,3304.1041666666665,1,0.8333333333333334
56210,Fall,891800,2020-2021,48487,2104.0,Online Only,Required for all students,1741.5555555555557,1,0.8888888888888888
56213,Fall,891800,2020-2021,12133,2104.0,Online Only,Required for all students,2730.3142857142857,1,0.8571428571428571
56216,Fall,891800,2020-2021,4001,2104.0,Online Only,Required for all students,3304.1041666666665,1,0.8333333333333334
56233,Fall,891692,2020-2021,13143,714.0,Hybrid,Pending,2666.5106382978724,1,0.8085106382978723
56238,Fall,891687,2020-2021,13143,2441.0,Hybrid,Required for all students,2666.5106382978724,1,0.8085106382978723
56243,Fall,891690,2020-2021,13143,256.0,Hybrid,Required for all students,2666.5106382978724,1,0.8085106382978723
56248,Fall,891689,2020-2021,13143,170.0,On Premises,Required for all students,2666.5106382978724,1,0.8085106382978723
56253,Fall,891688,2020-2021,13143,3016.0,Hybrid,Required for all students,2666.5106382978724,1,0.8085106382978723
56258,Fall,69724907,2020-2021,13143,705.0,Online Only,Required for all students,2666.5106382978724,1,0.8085106382978723
56263,Fall,891685,2020-2021,13143,14233.0,Hybrid,Required for all students,2666.5106382978724,1,0.8085106382978723
56267,Fall,891263,2020-2021,48177,325.0,On Premises,Required for all students,1499.5,1,0.8888888888888888
56272,Fall,891581,2020-2021,42037,6258.0,Online Only,Required for all students,2296.059523809524,1,0.8070175438596491
56308,Fall,891158,2020-2021,48445,315.0,Hybrid,Unknown,1052.375,1,0.8125
56321,Fall,891108,2020-2021,27033,244.0,Hybrid,Required for all students,941.5,1,0.84
56327,Fall,891223,2020-2021,48483,85.0,Online Only,Not required,311.5833333333333,1,0.9166666666666666
56328,Fall,891223,2020-2021,41057,85.0,Online Only,Not required,2784.746835443038,1,0.810126582278481
56332,Fall,891222,2020-2021,48483,450.0,On Premises,Not required,311.5833333333333,1,0.9166666666666666
56333,Fall,891222,2020-2021,41057,450.0,On Premises,Not required,2784.746835443038,1,0.810126582278481
56341,Fall,891980,2020-2021,48183,1512.0,Hybrid,Required for all students,2971.304347826087,1,0.8333333333333334
56357,Fall,891682,2020-2021,48217,1510.0,Hybrid,Required for middle/high school students only,3384.1360544217687,1,0.8013245033112583
56359,Fall,891814,2020-2021,48485,950.0,Hybrid,Required for all students,4386.7,1,0.85
56360,Fall,891816,2020-2021,48485,15502.0,Hybrid,Required for all students,4386.7,1,0.85
56378,Fall,891511,2020-2021,48071,1577.0,Hybrid,Required for all students,2163.25,1,0.9375
56388,Fall,891109,2020-2021,48399,439.0,Hybrid,Required for all students,887.125,1,0.8125
56391,Fall,891385,2020-2021,48391,449.0,Hybrid,Required for middle/high school students only,438.0,1,0.8125
56395,Fall,891773,2020-2021,48447,148.0,On Premises,Not required,147.83333333333334,1,0.9166666666666666
56401,Fall,891899,2020-2021,28157,1271.0,On Premises,Required for middle/high school students only,3147.9,1,0.85
56420,Fall,96921133,2020-2021,48043,775.0,On Premises,Required for all students,590.0833333333334,1,0.8611111111111112
56423,Fall,96921133,2020-2021,8105,775.0,On Premises,Required for all students,708.03125,1,0.90625
56425,Fall,96921133,2020-2021,4001,775.0,On Premises,Required for all students,3304.1041666666665,1,0.8333333333333334
56430,Fall,890642,2020-2021,40007,1569.0,Hybrid,Not required,984.625,1,0.875
56431,Fall,890642,2020-2021,54081,1569.0,Hybrid,Not required,2656.722222222222,1,0.8611111111111112
56432,Fall,890642,2020-2021,39131,1569.0,Hybrid,Not required,1425.5714285714287,1,0.8214285714285714
56433,Fall,890642,2020-2021,41057,1569.0,Hybrid,Not required,2784.746835443038,1,0.810126582278481
56434,Fall,890642,2020-2021,5015,1569.0,Hybrid,Not required,1469.2272727272727,1,0.8409090909090909
56439,Fall,890630,2020-2021,49037,3177.0,Hybrid,Unknown,1963.4655172413793,1,0.8103448275862069
56445,Fall,890634,2020-2021,8029,3266.0,On Premises,Required for all students,1831.4166666666667,1,0.9166666666666666
56446,Fall,890634,2020-2021,49027,3266.0,On Premises,Required for all students,1462.1153846153845,1,0.8653846153846154
56447,Fall,890634,2020-2021,39051,3266.0,On Premises,Required for all students,1493.7826086956522,1,0.8043478260869565
56450,Fall,890634,2020-2021,19107,3266.0,On Premises,Required for all students,3020.0227272727275,1,0.8636363636363636
56488,Fall,890631,2020-2021,54011,2323.0,On Premises,Required for all students,4423.785714285715,1,0.8214285714285714
56503,Fall,101649358,2020-2021,12087,1020.0,Hybrid,Required for all students,1810.774193548387,1,0.8387096774193549
56505,Fall,96921122,2020-2021,12087,931.0,Hybrid,Required for all students,1810.774193548387,1,0.8387096774193549
